SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Source,Nature,Reporting Type,Units,latitude,longitude
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),558,Nicaragua,2021,7,IOM Missing Migrant Project,G,G,NUMBER,12.865416,-85.207229
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),566,Nigeria,2021,23,IOM Missing Migrant Project,G,G,NUMBER,9.081999,8.675277
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),591,Panama,2021,26,IOM Missing Migrant Project,G,G,NUMBER,8.537981,-80.782127
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),604,Peru,2021,4,IOM Missing Migrant Project,G,G,NUMBER,-9.189967,-75.015152
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),616,Poland,2021,13,IOM Missing Migrant Project,G,G,NUMBER,51.919438,19.145136
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),686,Senegal,2021,38,IOM Missing Migrant Project,G,G,NUMBER,14.497401,-14.452362
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),688,Serbia,2021,7,IOM Missing Migrant Project,G,G,NUMBER,44.016521,21.005859
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),705,Slovenia,2021,4,IOM Missing Migrant Project,G,G,NUMBER,46.151241,14.995463
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),706,Somalia,2021,7,IOM Missing Migrant Project,G,G,NUMBER,5.152149,46.199616
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),716,Zimbabwe,2021,1,IOM Missing Migrant Project,G,G,NUMBER,-19.015438,29.154857
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),724,Spain,2021,434,IOM Missing Migrant Project,G,G,NUMBER,40.463667,-3.74922
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),729,Sudan,2021,6,IOM Missing Migrant Project,G,G,NUMBER,12.862807,30.217636
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),732,Western Sahara,2021,552,IOM Missing Migrant Project,G,G,NUMBER,24.215527,-12.885834
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),760,Syrian Arab Republic,2021,1,IOM Missing Migrant Project,G,G,NUMBER,34.802075,38.996815
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),764,Thailand,2021,15,IOM Missing Migrant Project,G,G,NUMBER,15.870032,100.992541
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),780,Trinidad and Tobago,2021,10,IOM Missing Migrant Project,G,G,NUMBER,10.691803,-61.222503
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),788,Tunisia,2021,496,IOM Missing Migrant Project,G,G,NUMBER,33.886917,9.537499
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),792,Türkiye,2021,82,IOM Missing Migrant Project,G,G,NUMBER,38.963745,35.243322
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),796,Turks and Caicos Islands,2021,7,IOM Missing Migrant Project,G,G,NUMBER,21.694025,-71.797928
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),807,North Macedonia,2021,4,IOM Missing Migrant Project,G,G,NUMBER,41.608635,21.745275
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),818,Egypt,2021,1,IOM Missing Migrant Project,G,G,NUMBER,26.820553,30.802498
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),826,United Kingdom of Great Britain and Northern Ireland,2021,16,IOM Missing Migrant Project,G,G,NUMBER,55.378051,-3.435973
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),840,United States of America,2021,638,IOM Missing Migrant Project,G,G,NUMBER,37.09024,-95.712891
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),862,Venezuela (Bolivarian Republic of),2021,34,IOM Missing Migrant Project,G,G,NUMBER,6.42375,-66.58973
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),887,Yemen,2021,30,IOM Missing Migrant Project,G,G,NUMBER,15.552727,48.516388
